Country/Region,CountryCode,Lat,Long,Count,Density,Population (2020),DensityGroup
Mongolia,M12,46.8625,103.8467,220,2,3267320,<=100
Western Sahara,W01,24.2155,-12.8858,10,2,594215,<=100
Australia,A09,-35.4735,149.0124,8443,3,25439164,<=100
Iceland,I01,64.9631,-19.0208,1860,3,340795,<=100
Namibia,N01,-22.9576,18.4904,375,3,2531290,<=100
Canada,C04,53.9333,-116.5765,107169,4,37674770,<=100
Guyana,G11,5,-58.75,272,4,785788,<=100
Suriname,S21,3.9193,-56.0278,565,4,585561,<=100
Libya,L06,26.3351,17.228331,989,4,6852010,<=100
Botswana,B12,-22.3285,24.6849,277,4,2341649,<=100
Mauritania,M07,21.0079,10.9408,4827,5,4623535,<=100
Kazakhstan,K01,48.0196,66.9237,47171,7,18730568,<=100
Central African Republic,C05,6.6111,20.9394,3969,8,4812256,<=100
Gabon,G01,-0.8037,11.6094,5620,9,2214593,<=100
Russia,R02,60,90,673564,9,145922010,<=100
Bolivia,B10,-16.2902,-63.5887,38071,11,11640159,<=100
Chad,C06,15.4542,18.7322,871,13,16324440,<=100
Norway,N09,60.472,8.4689,8926,15,5412632,<=100
Oman,O01,21,57,45106,16,5078933,<=100
Saudi Arabia,S06,24,45,205929,16,34701377,<=100
Argentina,A07,-38.4161,-63.6167,75376,17,45111229,<=100
Belize,B07,13.1939,-59.5432,30,17,396120,<=100
Mali,M05,17.570692,-3.996166,2303,17,20125282,<=100
Algeria,A03,28.0339,1.6596,15500,18,43685618,<=100
Finland,F02,64,26,7248,18,5539002,<=100
New Zealand,N04,-40.9006,174.886,1533,18,4814272,<=100
Paraguay,P04,-23.4425,-58.4438,2385,18,7114524,<=100
South Sudan,S17,6.877,31.307,2021,18,11166783,<=100
Niger,N06,17.6078,8.0817,1082,19,24014064,<=100
Bhutan,B09,27.5142,90.4336,78,20,769867,<=100
Papua New Guinea,P03,-6.315,143.9555,11,20,8911530,<=100
Uruguay,U05,-32.5228,-55.7658,955,20,3471314,<=100
Brazil,B13,-14.235,-51.9253,1577004,25,212253150,<=100
Somalia,S14,5.1521,46.1996,2961,25,15798020,<=100
Sudan,S20,12.8628,30.2176,9767,25,43632213,<=100
Sweden,S22,63,16,71419,25,10086531,<=100
Zambia,Z01,-15.4167,28.2833,1632,25,18273379,<=100
Angola,A05,-11.2027,17.8739,346,26,32644783,<=100
Chile,C07,-35.6751,-71.543,291847,26,19082804,<=100
Peru,P05,-9.19,-75.0152,299080,26,32876986,<=100
Latvia,L02,56.8796,24.6032,1123,30,1890218,<=100
Estonia,E06,58.5953,25.0136,1993,31,1326357,<=100
Venezuela,V01,6.4238,-66.5897,6750,32,28451828,<=100
Laos,L01,19.85627,102.495496,19,32,7253719,<=100
Kyrgyzstan,K05,41.2044,74.7661,7094,34,6501804,<=100
Eritrea,E05,15.1794,39.7823,215,35,3536285,<=100
US,U06,37.0902,-95.7129,2839436,36,330610570,<=100
Zimbabwe,Z02,-20,30,698,38,14818157,<=100
Bahamas,B01,25.0343,-77.3963,104,39,392477,<=100
Mozambique,M15,-18.665695,35.529562,969,40,31067362,<=100
Djibouti,D02,11.8251,42.5903,4736,43,985027,<=100
Lithuania,L08,55.1694,23.8813,1831,43,2729553,<=100
Colombia,C09,4.5709,-74.2973,109793,46,50771878,<=100
Belarus,B05,53.7098,27.9534,63270,47,9449940,<=100
Montenegro,M13,42.5,19.3,720,47,628050,<=100
Madagascar,M01,-18.7669,46.8691,2728,48,27539106,<=100
Fiji,F01,-17.7134,178.065,18,49,895128,<=100
South Africa,S15,-30.5595,22.9375,187977,49,59154802,<=100
Equatorial Guinea,E04,1.5,10,3071,50,1392950,<=100
Iran,I04,32,53,237878,52,83771587,<=100
Guinea,G09,9.9456,-9.6966,5570,53,13056478,<=100
Liberia,L05,6.4281,-9.4295,869,53,5032469,<=100
Nicaragua,N05,12.8654,-85.2072,2519,55,6608366,<=100
Cameroon,C03,3.848,11.5021,12592,56,26405174,<=100
Yemen,Y01,15.552727,48.516388,1248,56,29687214,<=100
Georgia,G03,42.3154,43.3569,948,57,3990681,<=100
Panama,P02,8.538,-80.7821,36983,58,4300667,<=100
Afghanistan,A01,33,65,32672,60,38742911,<=100
Bosnia and Herzegovina,B11,43.9159,17.6791,4962,64,3284806,<=100
Bulgaria,B15,42.7339,25.4858,5677,64,6958627,<=100
Mexico,M09,23.6345,-102.5528,252165,66,128655589,<=100
Eswatini,E07,-26.5225,31.4659,954,67,1157707,<=100
Tanzania,T03,-6.369,34.8888,509,67,59368313,<=100
Tajikistan,T02,38.861034,71.276093,6159,68,9492342,<=100
Guinea-Bissau,G10,11.8037,-15.1804,1765,70,1958132,<=100
Ecuador,E01,-1.8312,-78.1834,61535,71,17587526,<=100
Lesotho,L04,-29.609988,28.233608,35,71,2138799,<=100
Ireland,I06,53.1424,-7.6921,25509,72,4926480,<=100
Croatia,C14,45.1,15.2,3094,73,4110214,<=100
Ukraine,U02,48.3794,31.1656,48628,75,43785122,<=100
Burkina Faso,B16,12.2383,-1.5616,987,76,20780371,<=100
Tunisia,T08,34,9,1186,76,11793319,<=100
Uzbekistan,U07,41.3775,64.5853,9708,79,33368859,<=100
Greece,G06,39.0742,21.8243,3511,81,10433037,<=100
Brunei,B14,4.5353,114.7277,141,83,436624,<=100
Cote d'Ivoire,C13,7.54,-5.5471,10462,83,26239250,<=100
Morocco,M14,31.7917,-7.0926,13822,83,36820713,<=100
