Country,CountryCode,Lat,Long,Density,Population,Date,Count
Afghanistan,A01,33,65,60,38742911,22/01/2020,0
Albania,A02,41.1533,20.1683,105,2878420,22/01/2020,0
Algeria,A03,28.0339,1.6596,18,43685618,22/01/2020,0
Andorra,A04,42.5063,1.5218,164,77240,22/01/2020,0
Angola,A05,-11.2027,17.8739,26,32644783,22/01/2020,0
Antigua and Barbuda,A06,17.0608,-61.7964,223,97764,22/01/2020,0
Argentina,A07,-38.4161,-63.6167,17,45111229,22/01/2020,0
Armenia,A08,40.0691,45.0382,104,2962137,22/01/2020,0
Australia,A09,-35.4735,149.0124,3,25439164,22/01/2020,0
Austria,A10,47.5162,14.5501,109,8996022,22/01/2020,0
Azerbaijan,A11,40.1431,47.5769,123,10120555,22/01/2020,0
Bahamas,B01,25.0343,-77.3963,39,392477,22/01/2020,0
Bahrain,B02,26.0275,50.55,2239,1688629,22/01/2020,0
Bangladesh,B03,23.685,90.3563,1265,164354176,22/01/2020,0
Barbados,B04,13.1939,-59.5432,668,287305,22/01/2020,0
Belarus,B05,53.7098,27.9534,47,9449940,22/01/2020,0
Belgium,B06,50.8333,4,383,11579477,22/01/2020,0
Belize,B07,13.1939,-59.5432,17,396120,22/01/2020,0
Benin,B08,9.3077,2.3158,108,12055347,22/01/2020,0
Bhutan,B09,27.5142,90.4336,20,769867,22/01/2020,0
Bolivia,B10,-16.2902,-63.5887,11,11640159,22/01/2020,0
Bosnia and Herzegovina,B11,43.9159,17.6791,64,3284806,22/01/2020,0
Botswana,B12,-22.3285,24.6849,4,2341649,22/01/2020,0
Brazil,B13,-14.235,-51.9253,25,212253150,22/01/2020,0
Brunei,B14,4.5353,114.7277,83,436624,22/01/2020,0
Bulgaria,B15,42.7339,25.4858,64,6958627,22/01/2020,0
Burkina Faso,B16,12.2383,-1.5616,76,20780371,22/01/2020,0
Burundi,B17,-3.3731,29.9189,463,11814346,22/01/2020,0
Cabo Verde,C01,16.5388,-23.0418,138,554750,22/01/2020,0
Cambodia,C02,11.55,104.9167,95,16671185,22/01/2020,0
Cameroon,C03,3.848,11.5021,56,26405174,22/01/2020,0
Canada,C04,53.9333,-116.5765,4,37674770,22/01/2020,0
Central African Republic,C05,6.6111,20.9394,8,4812256,22/01/2020,0
Chad,C06,15.4542,18.7322,13,16324440,22/01/2020,0
Chile,C07,-35.6751,-71.543,26,19082804,22/01/2020,0
