Country,CountryCode,Lat,Long,Density,Population,Date,Count,DensityGroup
Afghanistan,A01,33,65,60,38742911,2020-01-22,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-01-23,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-01-24,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-01-25,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-01-26,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-01-27,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-01-28,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-01-29,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-01-30,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-01-31,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-02-01,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-02-02,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-02-03,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-02-04,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-02-05,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-02-06,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-02-07,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-02-08,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-02-09,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-02-10,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-02-11,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-02-12,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-02-13,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-02-14,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-02-15,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-02-16,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-02-17,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-02-18,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-02-19,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-02-20,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-02-21,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-02-22,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-02-23,0,<=100
Afghanistan,A01,33,65,60,38742911,2020-02-24,1,<=100
Afghanistan,A01,33,65,60,38742911,2020-02-25,1,<=100
Afghanistan,A01,33,65,60,38742911,2020-02-26,1,<=100
Afghanistan,A01,33,65,60,38742911,2020-02-27,1,<=100
Afghanistan,A01,33,65,60,38742911,2020-02-28,1,<=100
Afghanistan,A01,33,65,60,38742911,2020-02-29,1,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-01,1,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-02,1,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-03,1,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-04,1,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-05,1,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-06,1,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-07,1,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-08,4,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-09,4,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-10,5,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-11,7,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-12,7,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-13,7,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-14,11,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-15,16,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-16,21,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-17,22,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-18,22,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-19,22,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-20,24,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-21,24,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-22,40,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-23,40,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-24,74,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-25,84,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-26,94,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-27,110,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-28,110,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-29,120,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-30,170,<=100
Afghanistan,A01,33,65,60,38742911,2020-03-31,174,<=100
Afghanistan,A01,33,65,60,38742911,2020-04-01,237,<=100
Afghanistan,A01,33,65,60,38742911,2020-04-02,273,<=100
Afghanistan,A01,33,65,60,38742911,2020-04-03,281,<=100
Afghanistan,A01,33,65,60,38742911,2020-04-04,299,<=100
Afghanistan,A01,33,65,60,38742911,2020-04-05,349,<=100
Afghanistan,A01,33,65,60,38742911,2020-04-06,367,<=100
